titulo,cidade_estado,autoria,ano,link_experiencia
Comissão Intergestores Regional do Juruá e Tarauacá/Envira - CIR com um toque do Apoiador.,Cruzeiro do Sul - AC,ALEX DE MELO GASPAR,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/2_comissao-intergestores-regional-do-jurua-e-tarauaca-envira-cir-com-um-toque-do-apoiador
SAÚDE ITINERANTE DE MÂNCIO LIMA – LEVANDO SAÚDE AS COMUNIDADES RURAIS RIBEIRINHAS.,Mâncio Lima - AC,CRIS MARRONE LEITE DE OLIVEIRA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/4_saude-itinerante-de-mancio-lima-levando-saude-as-comunidades-rurais-ribeirinhas
ESTRATÉGIA PARA A GESTÃO DO CUIDADO EM SAÚDE através de uma banda musical de idosos da comunidade,Rio Branco - AC,KAREN COSTA DA SILVA BEIRUTH,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/1_estrategia-para-a-gestao-do-cuidado-em-saude-atraves-de-uma-banda-musical-de-idosos-da-comunidade
"DENGUE, AQUI NÃO!",Xapuri - AC,JOÃO PEREIRA DA SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/3_dengue-aqui-nao
Oficina Integrada de Cuidado às Crianças com Síndrome Congênita do Zika vírus e suas famílias.,Arapiraca - AL,AMANDA RODRIGUES BERTOLDO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/9_oficina-integrada-de-cuidado-as-criancas-com-sindrome-congenita-do-zika-virus-e-suas-familias
IMPACTO DA ASSISTÊNCIA DE ENFERMAGEM EM DOMICÍLIO A PACIENTES COM FERIDAS NA ATENÇÃO BÁSICA,Feira Grande - AL,CRISLAINE EULES SANTOS SILVA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/10_impacto-da-assistencia-de-enfermagem-em-domicilio-a-pacientes-com-feridas-na-atencao-basica
Monitoramento dos indicadores do Previne Brasil e o impacto na qualificação dos serviços de saúde.,Jundiá - AL,MARCELO ANTONIO DOS SANTOS,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/7_monitoramento-dos-indicadores-do-previne-brasil-e-o-impacto-na-qualificacao-dos-servicos-de-saude
TV COSEMS AL: FERRAMENTA DE VALORIZAÇÃO DO SUS E EDUCAÇÃO PERMANENTE PARA GESTÃO MUNICIPAL,Maceió - AL,ROBERTO FIRPO DE ALMEIDA FILHO,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/11_tv-cosems-al-ferramenta-de-valorizacao-do-sus-e-educacao-permanente-para-gestao-municipal
IDENTIFICAÇÃO DE CLUSTERS E TREINAMENTO EM SERVIÇO: ESTRATÉGIAS PARA ABORDAGEM DA HANSENÍASE.,Pilar - AL,FRANCINNY LIMA WANDERLEY DA ROCHA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/6_identificacao-de-clusters-e-treinamento-em-servico-estrategias-para-abordagem-da-hanseniase
PROJETO SEMEADORES DA PAZ: PREVENIR A VIOLÊNCIA É CUIDAR DA MINHA SAÚDE,Santana do Ipanema - AL,AMS MARQUES CAVALCANTE,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/5_projeto-semeadores-da-paz-prevenir-a-violencia-e-cuidar-da-minha-saude
PROJETO SUPERAÇÃO: ASSISTÊNCIA ESPECIALIZADA NO ATENDIMENTO DE PACIENTES COM FIBROMIALGIA,Teotônio Vilela - AL,LARYSSA CUSTÓDIO DA SILVA MOTA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/8_projeto-superacao-assistencia-especializada-no-atendimento-de-pacientes-com-fibromialgia
NÚCLEO DE APOIO À SAÚDE DO MUNICÍPIO DE BARCELOS (EM SUBSTITUIÇÃO AO MODELO DE CASA DE APOIO),Barcelos - AM,RAYNA APARECIDA GADELHA SUSSUARANA,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/15_nucleo-de-apoio-a-saude-do-municipio-de-barcelos-em-substituicao-ao-modelo-de-casa-de-apoio
PREVENTIVO EM SUAS MÃOS,Manaus - AM,Hellen Bastos Gomes,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/12_preventivo-em-suas-maos
OS APOIADORES DO COSEMS NAS CURVAS DOS RIOS DO AMAZONAS: IMPACTO DAS AÇÕES DE EPS,Manaus - AM,Gigellis Duque Vilaça,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/17_os-apoiadores-do-cosems-nas-curvas-dos-rios-do-amazonas-impacto-das-acoes-de-eps
DO RIBEIRINHO AO URBANO NA CONSTRUÇÃO DO PLANO MUNICIPAL DE SAÚDE: UMA EXPERIENCIA PARTICIPATIVA,Manicoré - AM,Manoel Cetauro da Fonseca Júnior,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/13_do-ribeirinho-ao-urbano-na-construcao-do-plano-municipal-de-saude-uma-experiencia-participativa
CONFERÊNCIAS LOCAIS DE SAÚDE: ESTRATÉGIAS DE EDUCAÇÃO PERMANENTE PARA O PLANO MUNICIPAL DE SAÚDE.,Presidente Figueiredo - AM,Camilla Maria Nery Baracho de França,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/14_conferencias-locais-de-saude-estrategias-de-educacao-permanente-para-o-plano-municipal-de-saude
OS DESAFIOS DA COLETA DO TESTE DO PEZINHO EM TEMPO DE PANDEMIA,Tefé - AM,Clevelland Gomes Sampaio Junior,2022,https://portal.conasems.org.br/brasil-aqui-tem-sus/experiencias/16_os-desafios-da-coleta-do-teste-do-pezinho-em-tempo-de-pandemia
